State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting,session_source_key
Alabama,Baldwin,1,3,2023-01-10,47,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-01-11,38,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-01-12,30,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-01-13,24,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-01-14,27,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-01-15,52,Moderate,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-01-16,26,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-01-17,18,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-01-18,31,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-01-19,34,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-01-20,19,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-01-21,26,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-01-22,23,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-01-23,24,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-01-24,29,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-01-25,17,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-01-26,22,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-01-27,25,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-01-28,52,Moderate,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-01-29,36,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-01-30,30,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-01-31,22,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-02-01,28,Good,PM2.5,01-003-0010,1,epa_air_quality
Alabama,Baldwin,1,3,2023-02-02,32,Good,PM2.5,01-003-0010,1,epa_air_quality
