OBJECTID,SourceOID,ABCDMisc,ADSPermissionState,ContainmentDateTime,ControlDateTime,CreatedBySystem,IncidentSize,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalAcres,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,EstimatedFinalCost,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime_dt,ModifiedOnDateTime_dt,IsCpxChild,CpxName,CpxID,SourceGlobalID,GlobalID,IncidentComplexityLevel,longitude,latitude,session_source_key
22,6808381,,DEFAULT,nan,nan,cfcad,nan,0.1,CAYICC,nan,,,,,,,,,Unknown,,,MQ6D,,1567701591000,,nan,nan,nan,nan,nan,,,ONCC,nan,nan,nan,,,MARTIN 2,,WF,FI,41.716768,-122.34566,nan,nan,{9D6CFD63-6044-497A-9C92-F6B0599BEC17},nan,0,1.0,nan,0,nan,nan,nan,1,007067,nan,nan,,Siskiyou,CAYICC,06093,,CASKU,,,,,,,,nan,,NC06,,CASKU,US-CA,,,,,nan,2019-CASKU-007067,No Decision,nan,,nan,1567701596470,1567702241707,0,,,{9D6CFD63-6044-497A-9C92-F6B0599BEC17},7612d798-b47d-4071-a073-ae4b1b7c763c,,-122.34565999999997,41.71676800000006,nifc_wildfire_incidents
92,3192631,,DEFAULT,nan,nan,firecode,nan,nan,,nan,,,,,,,,,,,,K3F9,,1498764180000,,nan,nan,nan,nan,nan,,,ONCC,nan,nan,nan,,,MACDOEL,,WF,FI,nan,nan,nan,nan,{01F76FFC-8F56-456A-8A49-6B1E6F7191D5},nan,0,1.0,0.0,0,1.0,0.0,nan,1,004609,nan,nan,,Siskiyou,,06093,,,,,,,,,,nan,,NC06,CDF,CASKU,US-CA,,,,,nan,2017-CASKU-004609,No Decision,nan,,nan,1498764796993,1498764796993,0,,,{01F76FFC-8F56-456A-8A49-6B1E6F7191D5},8d231d94-ec5c-4e12-91f7-6f989cbc3464,,-121.93527777999998,41.83638889000008,nifc_wildfire_incidents
345,3915682,,DEFAULT,nan,nan,wildcad,0.1,0.1,ORLFC,nan,,,,,,,,,Undetermined,,,,,1522170433000,,nan,nan,nan,nan,nan,,,NWCC,nan,nan,nan,,,Pilot RX,,RX,FI,42.46247,-120.9291,nan,nan,{5FEA6750-3CC0-4A99-94B0-B618E8A75EBD},nan,0,0.0,0.0,0,0.0,0.0,nan,1,000012,nan,nan,,Klamath,,41035,,,,,,,,,,nan,,NW07,FS,ORFWF,US-OR,,,,,nan,2018-ORFWF-000012,No Decision,nan,,nan,1522192733227,1522192733227,0,,,{5FEA6750-3CC0-4A99-94B0-B618E8A75EBD},e3e16e24-b3fa-4448-b8af-b14d5493c283,,-120.92909999999996,42.46247000000005,nifc_wildfire_incidents
351,7233178,,DEFAULT,nan,nan,wildcad,nan,nan,ORRVC,nan,,,,,,,,,Unknown,,,,,1573170948000,,nan,nan,nan,nan,nan,,,NWCC,nan,nan,nan,,,HC Corridor Clean Up,,RX,FI,42.46848,-122.4328,nan,nan,{31798E58-17D0-40FC-AB7E-0A7AF8CF1A82},nan,0,0.0,0.0,0,0.0,0.0,nan,1,000560,nan,nan,,Jackson,ORRVC,41029,FS,ORRSF,,,,,,,,nan,,NW04,FS,ORRSF,US-OR,,,,,nan,2019-ORRSF-000560,No Decision,nan,,nan,1573174723300,1573230535787,0,,,{31798E58-17D0-40FC-AB7E-0A7AF8CF1A82},d07e76dc-8cdc-4c61-8849-3aa1e47bfee4,,-122.4328,42.468480000000056,nifc_wildfire_incidents
369,7504378,,DEFAULT,nan,nan,wildcad,nan,nan,ORRVC,nan,,,,,,,,,Unknown,,,,,1556920421000,,nan,nan,nan,nan,nan,,,NWCC,nan,nan,nan,,,BF Double Bowen Unit 7-1,,RX,FI,42.53936,-122.513,nan,nan,{FC8C56DD-7B17-4DBB-9D42-AC64E1B1F7D4},nan,0,0.0,0.0,0,0.0,0.0,nan,1,000071,nan,nan,,Jackson,ORRVC,41029,BLM,ORMED,,,,,,,,nan,,NW04,BLM,ORMED,US-OR,,,,,nan,2019-ORMED-000071,No Decision,nan,,nan,1576681875563,1605893651010,0,,,{FC8C56DD-7B17-4DBB-9D42-AC64E1B1F7D4},be54dc65-1eb1-4cb2-ae49-35fca95b495a,,-122.51299999999998,42.539360000000045,nifc_wildfire_incidents
424,6702776,,DEFAULT,nan,nan,cfcad,nan,0.1,CAYICC,nan,,,,,,,,,Unknown,,,MMF3,,1565722148000,,nan,nan,nan,nan,nan,,,ONCC,nan,nan,nan,,,AGER,,WF,FI,41.932717,-122.366,nan,nan,{DEEB6DEF-7330-4ADC-8B80-E416FC2FD2BE},nan,0,1.0,nan,0,nan,nan,nan,1,006328,nan,nan,,Siskiyou,CAYICC,06093,,CASKU,,,,,,,,nan,,NC06,,CASKU,US-CA,,,,,nan,2019-CASKU-006328,No Decision,nan,,nan,1565722153757,1566441581997,0,,,{DEEB6DEF-7330-4ADC-8B80-E416FC2FD2BE},d28050e5-7082-4d29-b747-90dc6b470fd7,,-122.366,41.932717000000025,nifc_wildfire_incidents
533,6738780,,DEFAULT,nan,nan,wildcad,nan,nan,CAMICC,nan,,,,,,,,,Unknown,,,,,1566929518000,,nan,nan,nan,nan,nan,,,ONCC,nan,nan,nan,,,AG BURN 16 M NE OF PRISONER ROCK ,,RX,FI,41.85688,-121.3874,nan,nan,{13A7FEE4-7407-4B62-9DFD-68595056636D},nan,0,0.0,0.0,0,0.0,0.0,nan,1,000697,nan,nan,,Modoc,CAMICC,06049,FS,CAMDF,,,,,,,,nan,,NC06,FS,CAMDF,US-CA,,,,,nan,2019-CAMDF-000697,No Decision,nan,,nan,1566929620937,1566929620937,0,,,{13A7FEE4-7407-4B62-9DFD-68595056636D},34b3cc18-f2ac-42d0-b30d-22f28bd8bbcf,,-121.38739999999996,41.85688000000005,nifc_wildfire_incidents
640,4725570,,DEFAULT,nan,nan,wildcad,1.5,1.5,ORRVC,nan,,,,,,,,,Natural,,,L0WJ,,1531666800000,,nan,nan,nan,nan,nan,,1502,NWCC,nan,nan,nan,,,Little Grayback,,WF,FI,42.19094,-122.4942,nan,nan,{D5A57D06-01AC-4756-BC0B-EE60685E6FD3},nan,0,0.0,0.0,0,0.0,0.0,nan,1,000403,nan,nan,,Jackson,ORRVIC,41029,DOF,OR711S,,,,,,,,nan,,NW04,BLM,ORMED,US-OR,,,,,nan,2018-ORMED-000403,No Decision,nan,,nan,1531967607550,1532898241970,0,,,{D5A57D06-01AC-4756-BC0B-EE60685E6FD3},f94caafe-59be-4fa0-be47-69a0508d30c1,,-122.49419999999998,42.19094000000007,nifc_wildfire_incidents
798,538185,,DEFAULT,nan,nan,firecode,2535.0,nan,,3264201.0,,,,,,,,,Undetermined,,,H78S,,1405282260000,,nan,nan,nan,nan,nan,,,NWCC,nan,nan,nan,F,,MOCCASIN HILL,,WF,FI,nan,nan,nan,nan,{41FA9608-79C0-49A9-A0B1-6174F67500EB},nan,0,1.0,0.0,0,0.0,0.0,nan,1,140260,100.0,nan,,Klamath,,41035,,,,,,,,,,nan,,,,OR981S,US-OR,,,,,124.0,2014-OR981S-140260,No Decision,nan,,nan,1405285805000,1405793487643,0,,,{41FA9608-79C0-49A9-A0B1-6174F67500EB},ff37f9f3-a845-4b2a-aa6b-7cb825fb1160,,-121.50699999999996,42.52030000000008,nifc_wildfire_incidents
1073,9265183,,DEFAULT,nan,nan,cfcad,nan,0.1,CAYICC,nan,,,,,,,,,Unknown,,,M5T7,,1591303040000,,nan,nan,nan,nan,nan,,,ONCC,nan,nan,nan,,,VISTA,,WF,FI,41.599083,-122.1991,nan,nan,{75F2669B-1F7F-4436-BD4D-F2A7B0CC010D},nan,0,nan,nan,0,nan,nan,nan,1,003960,nan,nan,,Siskiyou,CAYICC,06093,,CASKU,,Private,Private,,,,,nan,,NC06,,CASKU,US-CA,,,,,nan,2020-CASKU-003960,No Decision,nan,,nan,1591303042500,1591303778017,0,,,{75F2669B-1F7F-4436-BD4D-F2A7B0CC010D},2a52862b-0be4-4e63-9881-1539040066ec,,-122.1991,41.599083000000064,nifc_wildfire_incidents
