OBJECTID,SourceOID,ABCDMisc,ADSPermissionState,ContainmentDateTime,ControlDateTime,CreatedBySystem,IncidentSize,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalAcres,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,EstimatedFinalCost,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime_dt,ModifiedOnDateTime_dt,IsCpxChild,CpxName,CpxID,SourceGlobalID,GlobalID,IncidentComplexityLevel,longitude,latitude,session_source_key
1,7747595,,DEFAULT,nan,nan,lacocad,nan,0.1,CALACC,nan,,,,,,,,,Unknown,,,,,1582922740000,,nan,nan,nan,nan,nan,,,OSCC,nan,nan,nan,,,LAC-066100,,WF,FI,33.80898,-118.1807,nan,nan,{6A311ABB-DF4F-4947-B8DD-3900BDA784F6},nan,0,nan,nan,0,nan,nan,nan,1,066100,nan,nan,,Los Angeles,CALACC,06037,,CACAS,,,,,,,,nan,,SC08,C&L,CALAC,US-CA,,,,,nan,2020-CALAC-066100,No Decision,nan,,nan,1582923156363,1582923156363,0,,,{6A311ABB-DF4F-4947-B8DD-3900BDA784F6},48d2c0e2-5e38-4d40-9d5e-066b076c7d98,,-118.18069999999994,33.808980000000076,nifc_wildfire_incidents
2,6384391,,DEFAULT,nan,nan,firecode,nan,nan,CAMVIC,nan,,,,,,,,,,,,MC2S,,1562010840000,,nan,nan,nan,nan,nan,,,OSCC,nan,nan,nan,,,SYCAMORE,,WF,FI,nan,nan,nan,nan,{1AF2C949-B159-4D8F-8D39-90CB58BC5DD5},nan,0,1.0,0.0,0,1.0,0.0,nan,1,009269,nan,nan,,San Diego,CAMVIC,06073,CDF,CAMVU,,,,,,,,nan,,SC08,CDF,CAMVU,US-CA,,,,,nan,2019-CAMVU-009269,No Decision,nan,,nan,1562011812737,1562011812737,0,,,{1AF2C949-B159-4D8F-8D39-90CB58BC5DD5},17d2d66a-d451-4592-a172-7b2c860a2cc9,,-117.15388888899996,33.176388889000066,nifc_wildfire_incidents
3,1383752,,DEFAULT,nan,nan,firecode,nan,nan,,nan,,,,,,,,,,,,KA82,,1466460360000,,nan,nan,nan,nan,nan,,,ONCC,nan,nan,nan,,,RATTLESNAKE,,WF,FI,nan,nan,nan,nan,{1B179EA1-97CE-4699-915B-374754BCBC5B},nan,0,1.0,0.0,0,0.0,0.0,nan,1,014375,nan,nan,,Placer,,06061,,,,,,,,,,nan,,NC05,CDF,CANEU,US-CA,,,,,nan,2016-CANEU-014375,No Decision,nan,,nan,1466462342410,1466462342410,0,,,{1B179EA1-97CE-4699-915B-374754BCBC5B},60c471ff-3c85-41b4-9135-e7338d7ec90b,,-121.10416666699996,38.83472222200004,nifc_wildfire_incidents
4,22499589,,DEFAULT,nan,nan,cfcad,nan,0.1,CARRCC,nan,,,,,,,,,Undetermined,,,,,1637853453000,,nan,nan,nan,nan,nan,,,OSCC,nan,nan,nan,,,E 4TH ST /S D ST,,WF,FI,33.782437,-117.22858,nan,nan,{E61E387B-4ED7-4971-9604-C5D7391FAF77},nan,0,0.0,0.0,0,0.0,0.0,nan,1,163915,nan,nan,,Riverside,CARRCC,06065,,,,Private,Private,,,,,nan,,SC08,CDF,CARRU,US-CA,,,,,nan,2021-CARRU-163915,No Decision,nan,,nan,1637853893120,1637853893120,0,,,{E61E387B-4ED7-4971-9604-C5D7391FAF77},149237ec-a42e-43d6-9318-22207a705dd9,,-117.22857999999997,33.78243700000007,nifc_wildfire_incidents
5,23869477,,DEFAULT,nan,nan,lacocad,nan,0.01,CALACC,nan,,,,,,,,,Undetermined,,,,,1669029934000,,nan,nan,nan,nan,nan,,,OSCC,nan,nan,nan,,,LAC-396331,,WF,FI,33.94181,-118.30902,nan,nan,{D24123EC-7707-4229-A206-9111FE4B6020},nan,0,nan,nan,0,nan,nan,nan,1,396331,nan,nan,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,nan,,SC08,C&L,CALAC,US-CA,,,,,nan,2022-CALAC-396331,No Decision,nan,,nan,1669030129097,1669030129097,0,,,{AEB6F7A3-A109-4132-9FEB-FB1EE1DF3193},ef7675e3-d5be-412a-a6c1-0d63fc7153c8,,-118.30902,33.94181,nifc_wildfire_incidents
6,23852858,,DEFAULT,nan,nan,INFORM_Inspector,0.1,0.1,NHNEC,nan,,,,,,,,,,,,PZE4,,1658776839000,,nan,nan,nan,nan,nan,,,EACC,nan,nan,nan,,,MA09056,,WF,FI,nan,nan,nan,nan,{DD042D26-88BD-4585-9347-A376D0D5389E},nan,0,0.0,nan,0,nan,nan,nan,1,MA09056,nan,nan,,Franklin,NHNEC,25011,,,,Private,Private,,,,,nan,,EA23,FFC,MAMAS,US-MA,,,,,nan,2022-MAMAS-MA09056,No Decision,nan,,nan,1660060726140,1660060729193,0,,,{1C7C3BEC-4C23-4E73-837F-5C3D30AB5049},5d7abbe0-1bb0-400b-9fd8-71220a71fb44,,-72.580021,42.527278,nifc_wildfire_incidents
7,3233546,,DEFAULT,nan,nan,firecode,nan,nan,,nan,,,,,,,,,,,,K4QT,,1499458200000,,nan,nan,nan,nan,nan,,,ONCC,nan,nan,nan,,,FEATHER,,WF,FI,nan,nan,nan,nan,{8AA615F3-21A2-4D0C-8E6F-274CE71FD0A6},nan,0,1.0,0.0,0,1.0,0.0,nan,1,010972,nan,nan,,Butte,,06007,,,,,,,,,,nan,,NC07,CDF,CABTU,US-CA,,,,,nan,2017-CABTU-010972,No Decision,nan,,nan,1499464732423,1499464732423,0,,,{8AA615F3-21A2-4D0C-8E6F-274CE71FD0A6},10279828-a89c-423d-9eca-b1a6c400c097,,-121.19166666999996,39.67833333000005,nifc_wildfire_incidents
8,1386218,,DEFAULT,nan,nan,firecode,nan,nan,,nan,,,,,,,,,,,,KBA2,,1466453040000,,nan,nan,nan,nan,nan,,,OSCC,nan,nan,nan,,,KAWEAH,,WF,FI,nan,nan,nan,nan,{550D8AFD-3F19-4CAF-8A21-319FDD5F2A0D},nan,0,0.0,0.0,0,0.0,0.0,nan,1,000322,nan,nan,,Tulare,,06107,,,,,,,,,,nan,,SC04,CDF,CATUU,US-CA,,,,,nan,2016-CATUU-000322,No Decision,nan,,nan,1466527571313,1466527571313,0,,,{550D8AFD-3F19-4CAF-8A21-319FDD5F2A0D},9e87ffbc-45f7-460b-a992-27af3407082e,,-118.97361111099995,36.40472222200003,nifc_wildfire_incidents
9,7274774,,DEFAULT,nan,nan,wildcad,0.1,0.1,MTLEC,nan,,,,,,,,,Human,,,,,1556832770000,,nan,nan,nan,nan,nan,,,NRCC,nan,nan,nan,,,FDH-MTLG55-17,,WF,FI,47.003933,-108.27055,0.1,nan,{1D08C2BA-B415-42B3-89D2-F90D0EDB2E4B},nan,0,0.0,0.0,0,0.0,0.0,nan,1,000017,nan,nan,,Petroleum,MTLEC,30069,BLM,MTLED,,,,,,,,nan,,NR13,C&L,MTLG55,US-MT,,,,,nan,2019-MTLG55-000017,No Decision,nan,,nan,1573751233790,1573751233790,0,,,{1D08C2BA-B415-42B3-89D2-F90D0EDB2E4B},084de096-92ff-4b5e-9302-f6f38fba84ca,,-108.27054999999996,47.003933000000075,nifc_wildfire_incidents
10,23832521,,DEFAULT,nan,nan,INFORM_Inspector,0.1,0.1,MNMNCC,nan,,,,,,,,,,,,PL5T,,1651905596000,,nan,nan,nan,nan,nan,,,EACC,nan,nan,nan,,,Beaver Pond,,WF,FI,nan,nan,nan,nan,{CB2BD2E0-3F85-49EC-8363-AA23873EE171},nan,0,0.0,nan,0,nan,nan,nan,1,251007,nan,nan,,Carlton,MNMNCC,27017,,,,Private,Private,,,,,nan,,EA03,DNR,MNMNS,US-MN,,,,,nan,2022-MNMNS-251007,No Decision,nan,,nan,1651939792407,1651939795860,0,,,{7ED4985C-A4B8-46F8-9F33-C7135D5F5AA3},52272ad5-1a1e-406b-975a-69239c3c70c0,,-92.54399611,46.71507632,nifc_wildfire_incidents
