Column Name,Inferred Type,Unit/Tag,Null Count,Unique Values,Human Description
REF_ID_COD,string,unique_identifier,0,1,
UNIQUE_ID,string,unique_identifier,0,18,
DATA_SOURC,categorical,label_lookup,0,1,
LOC_METHOD,categorical,label_lookup,0,1,
ORIG_ID,string,unique_identifier,0,18,
SLIDE_NAME,categorical,label_lookup,0,1,
LENGTH_ft,numeric,ft,0,1,
WIDTH_ft,numeric,ft,0,1,
DEPTH_ft,numeric,ft,0,1,
SLOPE,numeric,slope,0,1,
TYPE_MOVE,categorical,label_lookup,0,1,
MOVE_CLASS,categorical,label_lookup,0,1,
CONTR_FACT,categorical,label_lookup,0,1,
TYPE_MTRL,categorical,label_lookup,0,1,
AREA_ft2,numeric,ft2,0,1,
VOLUME_ft3,numeric,ft3,0,1,
DEEP_SHAL,categorical,label_lookup,0,1,
DAMAGES,string,,0,7,
LOSSES,categorical,label_lookup,0,1,
COMMENTS,string,,0,18,
YEAR,datetime,temporal,0,1,
DATE_RANGE,datetime,temporal,0,1,
MONTH,datetime,temporal,0,1,
DAY,datetime,temporal,0,1,
FID,numeric,unique_identifier,0,18,
ANNUAL_COS,numeric,,0,12,
REPAIR_COS,numeric,,0,14,
REACTIVATI,categorical,label_lookup,0,1,
longitude,float,decimal_degrees,0,18,
latitude,float,decimal_degrees,0,18,
session_source_key,categorical,label_lookup,0,1,
