Column Name,Inferred Type,Unit/Tag,Null Count,Unique Values,Human Description
OBJECTID,numeric,,0,16,
SourceOID,numeric,,0,16,
ABCDMisc,numeric,,0,16,
ADSPermissionState,categorical,label_lookup,0,1,
ContainmentDateTime,numeric,,0,16,
ControlDateTime,numeric,,0,16,
CreatedBySystem,string,,0,3,
IncidentSize,numeric,,0,15,
DiscoveryAcres,numeric,,0,11,
DispatchCenterID,string,,0,5,
EstimatedCostToDate,currency,USD,0,16,
FinalAcres,numeric,,0,16,
FinalFireReportApprovedByTitle,numeric,,0,16,
FinalFireReportApprovedByUnit,numeric,,0,16,
FinalFireReportApprovedDate,numeric,,0,16,
FireBehaviorGeneral,numeric,,0,16,
FireBehaviorGeneral1,numeric,,0,16,
FireBehaviorGeneral2,numeric,,0,16,
FireBehaviorGeneral3,numeric,,0,16,
FireCause,string,,0,4,
FireCauseGeneral,numeric,,0,16,
FireCauseSpecific,numeric,,0,16,
FireCode,string,,0,11,
FireDepartmentID,numeric,,0,16,
FireDiscoveryDateTime,numeric,,0,16,
FireMgmtComplexity,numeric,,0,16,
FireOutDateTime,numeric,,0,16,
FireStrategyConfinePercent,numeric,,0,16,
FireStrategyFullSuppPercent,numeric,,0,16,
FireStrategyMonitorPercent,numeric,,0,16,
FireStrategyPointZonePercent,numeric,,0,16,
FSJobCode,numeric,,0,16,
FSOverrideCode,numeric,,0,16,
GACC,string,,0,2,Geographic Area Coordination Center region
ICS209ReportDateTime,numeric,,0,16,
ICS209ReportForTimePeriodFrom,numeric,,0,16,
ICS209ReportForTimePeriodTo,numeric,,0,16,
ICS209ReportStatus,string,,0,2,
IncidentManagementOrganization,numeric,,0,16,
IncidentName,string,,0,16,
IncidentShortDescription,numeric,,0,16,
IncidentTypeCategory,string,,0,2,
IncidentTypeKind,categorical,label_lookup,0,1,
InitialLatitude,float,decimal_degrees,0,16,
InitialLongitude,float,decimal_degrees,0,16,
InitialResponseAcres,numeric,,0,16,
InitialResponseDateTime,numeric,,0,16,
IrwinID,string,,0,16,
IsFireCauseInvestigated,numeric,,0,16,
IsFireCodeRequested,categorical,label_lookup,0,1,
IsFSAssisted,numeric,,0,3,
IsMultiJurisdictional,numeric,,0,4,
IsQuarantined,categorical,label_lookup,0,1,
IsReimbursable,numeric,,0,5,
IsTrespass,numeric,,0,4,
IsUnifiedCommand,numeric,,0,16,
IsValid,categorical,label_lookup,0,1,
LocalIncidentIdentifier,numeric,,0,16,
PercentContained,numeric,,0,16,
PercentPerimeterToBeContained,numeric,,0,16,
POOCity,numeric,,0,16,
POOCounty,string,,0,4,
POODispatchCenterID,string,,0,6,
POOFips,numeric,,0,4,
POOJurisdictionalAgency,string,,0,5,
POOJurisdictionalUnit,string,,0,7,
POOJurisdictionalUnitParentUnit,numeric,,0,16,
POOLandownerCategory,string,,0,4,
POOLandownerKind,string,,0,3,
POOLegalDescPrincipalMeridian,numeric,,0,16,
POOLegalDescQtr,numeric,,0,16,
POOLegalDescQtrQtr,numeric,,0,16,
POOLegalDescRange,numeric,,0,16,
POOLegalDescSection,numeric,,0,16,
POOLegalDescTownship,numeric,,0,16,
POOPredictiveServiceAreaID,numeric,area,0,4,
POOProtectingAgency,string,,0,5,
POOProtectingUnit,string,,0,7,
POOState,string,,0,2,
PredominantFuelGroup,numeric,,0,16,
PredominantFuelModel,numeric,,0,16,
PrimaryFuelModel,numeric,,0,16,
SecondaryFuelModel,numeric,,0,16,
TotalIncidentPersonnel,numeric,,0,16,
UniqueFireIdentifier,string,,0,16,
WFDSSDecisionStatus,categorical,label_lookup,0,1,
EstimatedFinalCost,currency,USD,0,16,
OrganizationalAssessment,numeric,,0,16,
StrategicDecisionPublishDate,numeric,,0,16,
CreatedOnDateTime_dt,numeric,,0,16,
ModifiedOnDateTime_dt,numeric,,0,16,
IsCpxChild,categorical,label_lookup,0,1,
CpxName,numeric,,0,16,
CpxID,numeric,,0,16,
SourceGlobalID,string,,0,16,
GlobalID,string,,0,16,
IncidentComplexityLevel,numeric,,0,16,
longitude,float,decimal_degrees,0,16,
latitude,float,decimal_degrees,0,16,
session_source_key,categorical,label_lookup,0,1,
