Column Name,Inferred Type,Unit/Tag,Null Count,Unique Values,Human Description
serial,numeric,,0,3,
firecategory,string,,0,1,
fireyear,numeric,,0,2,
area,numeric,area,0,1,
districtname,string,,0,1,
unitname,string,,0,1,
fullfirenumber,string,,0,3,
complexname,string,,0,3,
firename,string,,0,3,
size_class,string,,0,1,
esttotalacres,numeric,,0,2,
protected_acres,numeric,,0,2,
humanorlightning,string,,0,1,
causeby,string,,0,1,
generalcause,string,,0,1,
specificcause,string,,0,1,
cause_comments,numeric,,0,3,
lat_dd,float,decimal_degrees,0,3,
long_dd,float,decimal_degrees,0,3,
latlongddpoint,string,,0,3,
fo_landowntype,string,,0,3,
twn,string,,0,2,
rng,string,,0,2,
sec,numeric,,0,3,
subdiv,string,,0,3,
landmarklocation,string,,0,3,
county,string,,0,1,
regusezone,string,,0,2,
reguserestriction,string,,0,2,
industrial_restriction,string,,0,3,
ign_datetime,string,,0,3,
reportdatetime,string,,0,3,
discover_datetime,string,,0,3,
control_datetime,string,,0,3,
creationdate,string,,0,3,
modifieddate,string,,0,3,
districtcode,numeric,,0,1,
unitcode,numeric,,0,1,
distfirenumber,numeric,,0,3,
session_source_key,string,,0,1,
