Column Name,Inferred Type,Unit/Tag,Null Count,Unique Values,Human Description
serial,numeric,,0,4,
firecategory,string,,0,1,
fireyear,numeric,,0,2,
area,numeric,area,0,1,
districtname,string,,0,1,
unitname,string,,0,1,
fullfirenumber,string,,0,4,
complexname,string,,0,4,
firename,string,,0,4,
size_class,string,,0,1,
esttotalacres,numeric,,0,2,
protected_acres,numeric,,0,2,
humanorlightning,string,,0,2,
causeby,string,,0,2,
generalcause,string,,0,2,
specificcause,string,,0,2,
cause_comments,string,,0,2,
lat_dd,float,decimal_degrees,0,4,
long_dd,float,decimal_degrees,0,4,
latlongddpoint,string,,0,4,
fo_landowntype,string,,0,3,
twn,string,,0,3,
rng,string,,0,2,
sec,numeric,,0,4,
subdiv,string,,0,4,
landmarklocation,string,,0,4,
county,string,,0,1,
regusezone,string,,0,2,
reguserestriction,string,,0,2,
industrial_restriction,string,,0,3,
ign_datetime,string,,0,4,
reportdatetime,string,,0,4,
discover_datetime,string,,0,4,
control_datetime,string,,0,4,
creationdate,string,,0,4,
modifieddate,string,,0,4,
districtcode,numeric,,0,1,
unitcode,numeric,,0,1,
distfirenumber,numeric,,0,4,
session_source_key,string,,0,1,
