Column Name,Inferred Type,Unit/Tag,Null Count,Unique Values,Human Description
serial,numeric,,0,100,
firecategory,categorical,label_lookup,0,1,
fireyear,numeric,,0,22,
area,numeric,area,0,2,
districtname,categorical,label_lookup,0,3,
unitname,categorical,label_lookup,0,3,
fullfirenumber,string,,0,100,
complexname,string,,0,12,
firename,string,,0,99,
size_class,categorical,label_lookup,0,7,
esttotalacres,numeric,,0,82,
protected_acres,numeric,,0,83,
humanorlightning,categorical,label_lookup,0,3,
causeby,string,,0,12,
generalcause,categorical,label_lookup,0,8,
specificcause,string,,0,28,
cause_comments,string,,0,42,
lat_dd,float,decimal_degrees,0,99,
long_dd,float,decimal_degrees,0,99,
latlongddpoint,string,,0,99,
fo_landowntype,categorical,label_lookup,0,9,
twn,string,,0,13,
rng,string,,0,25,
sec,numeric,,0,34,
subdiv,string,,0,17,
landmarklocation,string,,0,97,
county,categorical,label_lookup,0,5,
regusezone,categorical,label_lookup,0,7,
reguserestriction,categorical,label_lookup,0,7,
industrial_restriction,categorical,label_lookup,0,8,
ign_datetime,string,,0,85,
reportdatetime,string,,0,99,
discover_datetime,string,,0,94,
control_datetime,string,,0,94,
creationdate,string,,0,90,
modifieddate,string,,0,100,
districtcode,categorical,label_lookup,0,2,
unitcode,categorical,label_lookup,0,3,
distfirenumber,numeric,,0,85,
session_source_key,categorical,label_lookup,0,1,
