Column Name,Inferred Type,Unit/Tag,Null Count,Unique Values,Human Description
REF_ID_COD,string,unique_identifier,0,2,
UNIQUE_ID,string,unique_identifier,0,52,
DATA_SOURC,categorical,label_lookup,0,4,
LOC_METHOD,categorical,label_lookup,0,4,
ORIG_ID,string,unique_identifier,0,52,
SLIDE_NAME,string,,0,17,
LENGTH_ft,numeric,ft,0,3,
WIDTH_ft,numeric,ft,0,3,
DEPTH_ft,numeric,ft,0,1,
SLOPE,numeric,slope,0,1,
TYPE_MOVE,categorical,label_lookup,0,1,
MOVE_CLASS,string,,0,6,
CONTR_FACT,categorical,label_lookup,0,2,
TYPE_MTRL,categorical,label_lookup,0,3,
AREA_ft2,numeric,ft2,0,1,
VOLUME_ft3,numeric,ft3,0,3,
DEEP_SHAL,categorical,label_lookup,0,1,
DAMAGES,string,,0,27,
LOSSES,categorical,label_lookup,0,1,
COMMENTS,string,,0,49,
YEAR,datetime,temporal,0,1,
DATE_RANGE,datetime,temporal,0,2,
MONTH,datetime,temporal,0,1,
DAY,datetime,temporal,0,1,
FID,numeric,unique_identifier,0,52,
ANNUAL_COS,numeric,,0,6,
REPAIR_COS,numeric,,0,33,
REACTIVATI,categorical,label_lookup,0,1,
longitude,float,decimal_degrees,0,52,
latitude,float,decimal_degrees,0,52,
session_source_key,categorical,label_lookup,0,1,
